,category,variable,value
0,ITZY,danceability,0.7857500000000001
1,Pop,danceability,0.6142796442687756
2,R&B,danceability,0.7009032258064509
3,Rap,danceability,0.7590797101449275
4,ITZY,energy,0.9003749999999999
5,Pop,energy,0.5966137845849805
6,R&B,energy,0.5196989247311828
7,Rap,energy,0.5905942028985504
8,ITZY,valence,0.6773750000000002
9,Pop,valence,0.42923295454545457
10,R&B,valence,0.6265032258064519
11,Rap,valence,0.5373086956521738
